DAUID,TOPIC_THEME,TEXT_ID,TEXT_NAME_NOM,T_DATA_DONNEE,M_DATA_DONNEE,F_DATA_DONNEE
35060337,Language,7002,  French only,0,0,0
35060337,Language,8006,Official language minority (percentage),14.6,14.8,16.1
35060338,Language,7002,  French only,0.7,1.3,0
35060338,Language,8006,Official language minority (percentage),16.9,17.1,16.4
35060339,Language,7002,  French only,0.8,0,0
35060339,Language,8006,Official language minority (percentage),12.2,11.8,14.5
35060343,Language,7002,  French only,3.4,3.8,1.6
35060343,Language,8006,Official language minority (percentage),18.8,20.8,17.2
35060345,Language,7002,  French only,0,0,0
35060345,Language,8006,Official language minority (percentage),8.8,6.8,11.1
35060346,Language,7002,  French only,1.2,2.3,2.6
